,tcompound,tdate,tneg,tneu,tpos,tsource,ttext
281,-0.1779,Sat Jul 21 15:45:04 +0000 2018,0.194,0.647,0.159,The New York Times,A Hindu lynch mob beat a Muslim man to death. A national politician rewarded them with flowers. https://t.co/uuesorS8PQ
282,0.4019,Sat Jul 21 15:30:03 +0000 2018,0.0,0.803,0.197,The New York Times,Got $250? You can go to Sean Spicer’s book party. https://t.co/uxEUwABm0s https://t.co/bDI4gZ8a20
283,-0.296,Sat Jul 21 15:15:06 +0000 2018,0.155,0.845,0.0,The New York Times,"With a tweet, Trump signaled open warfare on his longtime fixer, Michael Cohen https://t.co/EUR6g4UnG2"
284,-0.3182,Sat Jul 21 15:00:04 +0000 2018,0.113,0.887,0.0,The New York Times,The trip to Kansas is a critical test for whether Alexandria Ocasio-Cortez and her Bronx-born brand of Democratic s… https://t.co/KOvnpHTIiN
285,0.6808,Sat Jul 21 14:45:06 +0000 2018,0.057,0.697,0.246,The New York Times,"Energized to take on Trump, these young Democrats are seeking to remake their own party as a ferocious — and feroci… https://t.co/yZo6BQ6pFw"
286,0.0,Sat Jul 21 14:30:05 +0000 2018,0.0,1.0,0.0,The New York Times,"You’ve heard of UCLA and Berkeley. But with Latinos now California’s largest ethnic group, is Merced the University… https://t.co/vdgjTpSdDB"
287,0.0,Sat Jul 21 14:17:02 +0000 2018,0.0,1.0,0.0,The New York Times,"The Gardner Museum heist, the largest art theft in history and still unsolved after 28 years, will be the subject o… https://t.co/wFAiRfzLdB"
288,0.0,Sat Jul 21 14:08:58 +0000 2018,0.0,1.0,0.0,The New York Times,Trump Signals Consequences for Michael Cohen Over Secret Recording https://t.co/fd7HEbnHfK
289,0.0,Sat Jul 21 14:02:04 +0000 2018,0.0,1.0,0.0,The New York Times,"There's a reason you're seeing more Aperol spritzes this year.
(It's marketing. The reason is marketing.) https://t.co/ftoPKyZ1Sn"
290,0.4215,Sat Jul 21 13:42:04 +0000 2018,0.0,0.843,0.157,The New York Times,"Attracted by lax regulations, industrial agriculture has descended on a remote Arizona valley, depleting its aquife… https://t.co/FstFgVdtUk"
291,0.0,Sat Jul 21 13:32:10 +0000 2018,0.0,1.0,0.0,The New York Times,Tip: How to Go Back to a Flip Phone https://t.co/WjuFbChgxs
292,0.5574,Sat Jul 21 13:21:02 +0000 2018,0.0,0.82,0.18,The New York Times,"RT @nytopinion: If America were to put itself on a Mediterranean diet, we would likely see huge improvements not only in human and environm…"
293,0.0,Sat Jul 21 13:14:05 +0000 2018,0.0,1.0,0.0,The New York Times,There Is a Revolution on the Left. Democrats Are Bracing. https://t.co/nUFQsxn98w
